id,type,latitude,longitude
node/3296849109,Estações de bicicleta,-23.5612844,-46.6904896
node/3296862071,Estações de bicicleta,-23.5643042,-46.6569173
node/3296968767,Estações de bicicleta,-23.5915608,-46.6790041
node/3296968768,Estações de bicicleta,-23.5945861,-46.6737219
node/3296968770,Estações de bicicleta,-23.5941795,-46.6692484
node/3296984988,Estações de bicicleta,-23.5657769,-46.6660491
node/3296984989,Estações de bicicleta,-23.5680361,-46.6621215
node/3296984990,Estações de bicicleta,-23.5703411,-46.6648714
node/3296987028,Estações de bicicleta,-23.5651727,-46.6731964
node/3297009506,Estações de bicicleta,-23.5785514,-46.6661127
node/3297056163,Estações de bicicleta,-23.5795986,-46.6710694
node/3297071061,Estações de bicicleta,-23.5834777,-46.6719759
node/3297078591,Estações de bicicleta,-23.5861401,-46.6774145
node/4121548281,Estações de bicicleta,-23.6116918,-46.6948828
node/4121605049,Estações de bicicleta,-23.5957961,-46.6879773
node/4121605051,Estações de bicicleta,-23.5893803,-46.6884725
node/4121605052,Estações de bicicleta,-23.5865882,-46.6837471
node/4121605054,Estações de bicicleta,-23.5805174,-46.6875186
node/4121605055,Estações de bicicleta,-23.5772075,-46.6918319
node/4121605056,Estações de bicicleta,-23.5738722,-46.6955429
node/4121605057,Estações de bicicleta,-23.5757852,-46.6863692
node/4121605058,Estações de bicicleta,-23.5725261,-46.6819588
node/4121605059,Estações de bicicleta,-23.5700288,-46.6866142
node/4121605060,Estações de bicicleta,-23.5661305,-46.6876893
node/4121605061,Estações de bicicleta,-23.5654814,-46.6835926
node/4121605063,Estações de bicicleta,-23.5611906,-46.6783568
node/4121605064,Estações de bicicleta,-23.5607831,-46.6732818
node/4121605065,Estações de bicicleta,-23.5551188,-46.6742086
node/4121605066,Estações de bicicleta,-23.5570995,-46.6800975
node/4121605067,Estações de bicicleta,-23.5593896,-46.6838587
node/4121605069,Estações de bicicleta,-23.5614103,-46.6953793
node/4121605070,Estações de bicicleta,-23.558787,-46.6995764
node/4121605071,Estações de bicicleta,-23.556702,-46.7021446
node/4121605072,Estações de bicicleta,-23.5544616,-46.6962094
node/4121605073,Estações de bicicleta,-23.5544848,-46.6913359
node/4121605074,Estações de bicicleta,-23.5571223,-46.6888361
node/4121605078,Estações de bicicleta,-23.5515608,-46.6784956
node/4121698122,Estações de bicicleta,-23.5453788,-46.6518392
node/4124206998,Estações de bicicleta,-23.5414601,-46.6763878
node/4124207005,Estações de bicicleta,-23.5429828,-46.6394407
node/4124207044,Estações de bicicleta,-23.5463097,-46.564625
node/4124207050,Estações de bicicleta,-23.5427944,-46.5653578
node/4124359247,Estações de bicicleta,-23.573712,-46.6514416
node/4124429244,Estações de bicicleta,-23.5903372,-46.6659143
node/4124429247,Estações de bicicleta,-23.5703741,-46.6551332
node/4124477202,Estações de bicicleta,-23.5944555,-46.683434
node/5337020721,Estações de bicicleta,-23.5719966,-46.6444031
node/5452395592,Estações de bicicleta,-23.5697728,-46.6981333
node/5632936315,Estações de bicicleta,-23.5621108,-46.6698481
node/5688959960,Estações de bicicleta,-23.5726751,-46.6585546
node/5688969150,Estações de bicicleta,-23.5684507,-46.6691947
node/5739961421,Estações de bicicleta,-23.5666783,-46.6939318
node/5739961422,Estações de bicicleta,-23.5660759,-46.6941222
node/5739961423,Estações de bicicleta,-23.5655547,-46.6942403
node/5739980155,Estações de bicicleta,-23.5688406,-46.6921849
node/5739980156,Estações de bicicleta,-23.5722267,-46.6903351
node/5739980157,Estações de bicicleta,-23.57261,-46.6937686
node/5739980158,Estações de bicicleta,-23.5755567,-46.6907723
node/5739980159,Estações de bicicleta,-23.5795102,-46.6906918
node/5740193672,Estações de bicicleta,-23.6089832,-46.69146
node/5745818472,Estações de bicicleta,-23.599297,-46.6871899
node/5745818473,Estações de bicicleta,-23.6001548,-46.6895208
node/5745818474,Estações de bicicleta,-23.6023398,-46.6924417
node/5745818475,Estações de bicicleta,-23.6054293,-46.694625
node/5745818476,Estações de bicicleta,-23.6047927,-46.695081
node/5745818477,Estações de bicicleta,-23.6075061,-46.6882575
node/5745818478,Estações de bicicleta,-23.6087055,-46.6949093
node/5745844085,Estações de bicicleta,-23.5977484,-46.6777779
node/5745844086,Estações de bicicleta,-23.5977239,-46.6841161
node/5745844087,Estações de bicicleta,-23.5994371,-46.6798809
node/5745844088,Estações de bicicleta,-23.6012289,-46.6816002
node/5745844089,Estações de bicicleta,-23.6037605,-46.67696
node/5760299419,Estações de bicicleta,-23.562132300000002,-46.6764158
node/5762520127,Estações de bicicleta,-23.5698462,-46.6805802
node/5762520128,Estações de bicicleta,-23.572754,-46.6815358
node/5762520129,Estações de bicicleta,-23.5722943,-46.6846338
node/5762520130,Estações de bicicleta,-23.5769701,-46.6801706
node/5762520131,Estações de bicicleta,-23.5835852,-46.6802323
node/5762520132,Estações de bicicleta,-23.5813827,-46.6779095
node/5762520133,Estações de bicicleta,-23.5794357,-46.6731727
node/5762520134,Estações de bicicleta,-23.5785901,-46.6707051
node/5762520135,Estações de bicicleta,-23.5792391,-46.6666281
node/5762520136,Estações de bicicleta,-23.578772,-46.6635275
node/5762520137,Estações de bicicleta,-23.5822283,-46.6671538
node/5762520138,Estações de bicicleta,-23.5817268,-46.6695464
node/5762520139,Estações de bicicleta,-23.5851879,-46.6807687
node/5762520140,Estações de bicicleta,-23.586653,-46.6762519
node/5762520141,Estações de bicicleta,-23.58712,-46.672824
node/5762520142,Estações de bicicleta,-23.5903288,-46.6738168
node/5762520143,Estações de bicicleta,-23.5902811,-46.678336
node/5762520145,Estações de bicicleta,-23.5924491,-46.681332
node/5762520147,Estações de bicicleta,-23.5955093,-46.6832498
node/5762520148,Estações de bicicleta,-23.5927736,-46.6843146
node/5762520149,Estações de bicicleta,-23.5926605,-46.6884399
node/5762520150,Estações de bicicleta,-23.5850737,-46.6904099
node/5762520151,Estações de bicicleta,-23.5892586,-46.6840196
node/5762520152,Estações de bicicleta,-23.5754201,-46.661721
node/5762521153,Estações de bicicleta,-23.593688,-46.6912991
node/5762521154,Estações de bicicleta,-23.5956617,-46.6906527
node/5762521155,Estações de bicicleta,-23.5842956,-46.6828206
node/5762521156,Estações de bicicleta,-23.5824938,-46.6913152
node/5762521157,Estações de bicicleta,-23.5824938,-46.6868413
node/5762521158,Estações de bicicleta,-23.5803355,-46.6851407
node/5764635189,Estações de bicicleta,-23.5713577,-46.6703095
node/5764635190,Estações de bicicleta,-23.567745,-46.6736542
node/5764635191,Estações de bicicleta,-23.5738443,-46.669423
node/5764635192,Estações de bicicleta,-23.5736095,-46.6770391
node/5764635193,Estações de bicicleta,-23.5706373,-46.675997100000004
node/5764635194,Estações de bicicleta,-23.568606,-46.6778538
node/5802125604,Estações de bicicleta,-23.5681887,-46.6489829
node/6205324419,Estações de bicicleta,-23.5455826,-46.7324597
node/6260609846,Estações de bicicleta,-23.6013957,-46.6712473
node/6333935901,Estações de bicicleta,-23.5950445,-46.6374783
node/6401796699,Estações de bicicleta,-23.5755326,-46.687426
node/6408808158,Estações de bicicleta,-23.5643253,-46.6799323
node/6412445861,Estações de bicicleta,-23.5751309,-46.6414815
node/6600248153,Estações de bicicleta,-23.5106771,-46.5953557
node/6695152905,Estações de bicicleta,-23.5548965,-46.6933256
node/6856197184,Estações de bicicleta,-23.6002663,-46.6751465
node/6856230985,Estações de bicicleta,-23.5933856,-46.6770807
node/6916298624,Estações de bicicleta,-23.5681715,-46.6486063
node/7572850108,Estações de bicicleta,-23.5642264,-46.6990322
node/8467174121,Estações de bicicleta,-23.4913296,-46.61045
node/8490795958,Estações de bicicleta,-23.5624826,-46.7228414
node/8622063832,Estações de bicicleta,-23.5918618,-46.6421942
node/8622066870,Estações de bicicleta,-23.5908996,-46.6491361
node/8622272853,Estações de bicicleta,-23.5894284,-46.639924
node/8747340171,Estações de bicicleta,-23.5898678,-46.6351377
node/8930533188,Estações de bicicleta,-23.5579349,-46.6754013
node/9306397053,Estações de bicicleta,-23.553176,-46.6785827
node/9306427690,Estações de bicicleta,-23.5552916,-46.6826267
node/9306437901,Estações de bicicleta,-23.6042553,-46.6371284
node/9306441643,Estações de bicicleta,-23.5578346,-46.6818608
node/9306441645,Estações de bicicleta,-23.5383304,-46.6743689
node/9306441646,Estações de bicicleta,-23.5354763,-46.6737393
node/9306441647,Estações de bicicleta,-23.5295469,-46.6776667
node/9306459596,Estações de bicicleta,-23.5314739,-46.6682708
node/9306459597,Estações de bicicleta,-23.530261,-46.6661272
node/9306459598,Estações de bicicleta,-23.531241,-46.6631128
node/9306459599,Estações de bicicleta,-23.5339004,-46.6651448
node/9306459600,Estações de bicicleta,-23.5267932,-46.6670125
node/9306459601,Estações de bicicleta,-23.5253526,-46.6642095
node/9306459602,Estações de bicicleta,-23.5281613,-46.6613975
node/9306459603,Estações de bicicleta,-23.5351346,-46.6602
node/9306534599,Estações de bicicleta,-23.5225036,-46.6590827
node/9306534600,Estações de bicicleta,-23.523273,-46.6552884
node/9306534601,Estações de bicicleta,-23.5184966,-46.6552198
node/9306534602,Estações de bicicleta,-23.5100693,-46.6527326
node/9306534603,Estações de bicicleta,-23.50358,-46.6381407
node/9306534604,Estações de bicicleta,-23.5042857,-46.6279785
node/9306534605,Estações de bicicleta,-23.5079027,-46.6247015
node/9306633476,Estações de bicicleta,-23.531812,-46.6590504
node/9306633477,Estações de bicicleta,-23.5337641,-46.6570819
node/9306633478,Estações de bicicleta,-23.5360531,-46.6570365
node/9306633479,Estações de bicicleta,-23.5390911,-46.6579135
node/9306633480,Estações de bicicleta,-23.5414845,-46.6555428
node/9311310501,Estações de bicicleta,-23.5973635,-46.6391719
node/9670524589,Estações de bicicleta,-23.5605463,-46.7359317
node/9670524590,Estações de bicicleta,-23.559695,-46.7394166
node/9815465985,Estações de bicicleta,-23.5597824,-46.7227316
node/9815465986,Estações de bicicleta,-23.5592734,-46.7300407
node/9815465987,Estações de bicicleta,-23.5648575,-46.7239521
node/9875264307,Estações de bicicleta,-23.5596258,-46.7270054
